;Code;Gender;Age;Mobile;Trial_number;Angle;Step_Angle;Area1;Area2;Area3;n3SquareOrCircle;BiggerCircleOrSquare;PosBig;StimVal;StimVal3;Nalternativas;RT_type1;Response;Correct;Confidence;RT_Confidence;Nsujeto;binary_correct
87;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;87;374,670,822,417,223;-20,943,951,023,932;758,424,167,388,397;720,502,959,018,977;360,251,479,509,489;0;2;2;0,95;0;2;2195;2;TRUE;0,0714286355411305;1545;1;1
89;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;89;155,142,615,099,543;-20,943,951,023,932;43,020,105,325,578;400,086,979,527,876;240,052,187,716,725;0;1;1;0,93;0;2;2121;1;TRUE;0,0266106549431296;1888;1;1
90;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;90;0,0995597437251789;-20,943,951,023,932;580,421,219,446,373;406,294,853,612,461;162,517,941,444,985;2;2;2;0,7;0,4;3;1769;2;TRUE;0,446778839709712;1748;1;1
91;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;91;125,456,553,323,128;-20,943,951,023,932;592,772,051,637,668;533,494,846,473,901;10,669,896,929,478;0;2;2;0,9;0;2;1787;2;TRUE;0,147058898327397;1410;1;1
92;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;92;577,400,394,659,727;20,943,951,023,932;786,593,383,626,209;707,934,045,263,588;212,380,213,579,077;1;2;2;0,9;0,3;3;1960;2;TRUE;0,186274509803922;3068;1;1
93;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;93;522,369,018,874,417;20,943,951,023,932;947,651,002,471,046;758,120,801,976,837;151,624,160,395,367;2;1;1;0,8;0,2;3;1886;1;TRUE;0,0546218647676356;1431;1;1
94;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;94;535,227,360,305,073;-20,943,951,023,932;739,133,849,894,553;665,220,464,905,098;665,220,464,905,098;0;1;1;0,9;0;2;1879;2;FALSE;0,107843212052888;5735;1;0
95;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;95;286,141,016,630,284;20,943,951,023,932;589,460,995,345,587;47,156,879,627,647;94,313,759,255,294;0;1;1;0,8;0;2;2376;1;TRUE;0,32633067112343;2062;1;1
96;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;96;226,806,764,922,854;-20,943,951,023,932;642,183,073,151,793;597,230,258,031,168;17,916,907,740,935;1;2;2;0,93;0,3;3;7524;1;FALSE;0;1293;1;0
97;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;97;0,879627416597867;-20,943,951,023,932;841,880,354,317,803;782,948,729,515,557;391,474,364,757,778;2;1;1;0,93;0,5;3;6446;2;FALSE;1;2581;1;0
98;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;98;520,880,965,534,592;-20,943,951,023,932;772,290,500,389,587;61,783,240,031,167;247,132,960,124,668;0;2;2;0,8;0;2;6111;2;TRUE;0,553221309886259;2191;1;1
100;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;100;405,260,858,558,281;-20,943,951,023,932;335,714,145,449,838;234,999,901,814,886;234,999,901,814,886;2;1;1;0,7;0,1;3;2043;1;TRUE;0,385154200535195;2044;1;1
101;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;101;0,249555421314741;20,943,951,023,932;54,435,940,593,573;381,051,584,155,011;190,525,792,077,506;0;2;2;0,7;0;2;1743;2;TRUE;0,264705882352941;1933;1;1
102;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;102;345,970,514,743,529;-20,943,951,023,932;812,990,169,430,259;772,340,660,958,746;772,340,660,958,746;0;2;2;0,95;0;2;2218;2;TRUE;0,0658263412176394;1392;1;1
103;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;103;0,227858201055721;20,943,951,023,932;374,670,710,391,745;299,736,568,313,396;299,736,568,313,396;1;1;1;0,8;0,1;3;1509;1;TRUE;0,183473400041169;6351;1;1
104;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;104;0,0279513786362578;-20,943,951,023,932;578,659,290,550,652;538,153,140,212,107;215,261,256,084,843;0;2;2;0,93;0;2;2302;2;TRUE;0,0630252314548866;1246;1;1
105;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;105;60,558,405,144,046;-20,943,951,023,932;606,069,217,442,278;575,765,756,570,164;230,306,302,628,066;1;2;2;0,95;0,4;3;2382;2;TRUE;0,0630252314548866;1805;1;1
106;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;106;303,838,040,776,478;20,943,951,023,932;644,137,005,100,717;599,047,414,743,666;299,523,707,371,833;1;2;2;0,93;0,5;3;3345;1;FALSE;0;1154;1;0
107;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;107;0,0857455848165225;-20,943,951,023,932;798,835,218,673,909;559,184,653,071,736;335,510,791,843,042;1;1;1;0,7;0,6;3;1642;1;TRUE;0,684873992321538;3153;1;1
108;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;108;395,447,189,524,216;-20,943,951,023,932;637,554,802,832,403;592,925,966,634,135;17,787,778,999,024;2;1;1;0,93;0,3;3;2062;2;FALSE;0,284313725490196;2512;1;0
109;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;109;522,465,482,379,257;-20,943,951,023,932;879,303,572,612,466;79,137,321,535,122;39,568,660,767,561;1;2;2;0,9;0,5;3;4029;2;TRUE;0,0658263412176394;2560;1;1
110;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;110;496,880,469,033,786;-20,943,951,023,932;666,736,876,672,432;466,715,813,670,702;280,029,488,202,421;0;1;1;0,7;0;2;1962;1;TRUE;0,233893600164675;1308;1;1
111;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;111;560,996,133,594,284;-20,943,951,023,932;108,426,559,392,854;975,839,034,535,686;975,839,034,535,686;2;1;1;0,9;0,1;3;1911;1;TRUE;0,0994398453656365;2131;1;1
