subject,session,run,block,trial_in_block,n_options,dominant_label,alternative_label,excluded_label,response,correct,rt,prop_dominant_dots,dir1_deg,dir2_deg,dir3_deg
1,1,2,2,49,3,1,,,1,1,0.3854,0.55,47.606,167.606,287.606
1,1,2,2,50,3,3,,,1,0,0.3547,0.55,192.391,312.391,72.391
1,1,2,3,1,2,3,,,1,0,0.4088,0.55,357.298,117.298,237.298
1,1,2,3,2,2,1,,,2,0,0.3459,0.55,156.918,276.918,36.918
1,1,2,3,3,2,1,,,1,1,0.3979,0.55,68.859,188.859,308.859
1,1,2,3,4,2,1,,,1,1,0.7665,0.55,194.195,314.195,74.195
1,1,2,3,5,2,1,,,1,1,0.3539,0.55,127.513,247.513,7.513
1,1,2,3,6,2,2,,,1,0,0.3242,0.55,351.02,111.02,231.02
1,1,2,3,7,2,2,,,1,0,0.4413,0.55,344.174,104.174,224.174
1,1,2,3,8,2,2,,,2,1,0.8564,0.55,241.994,1.994,121.994
1,1,2,3,9,2,2,,,3,0,0.6632,0.55,355.452,115.452,235.452
1,1,2,3,10,2,2,,,2,1,0.4461,0.55,161.941,281.941,41.941
1,1,2,3,11,2,1,,,2,0,0.4784,0.55,301.965,61.965,181.965
1,1,2,3,12,2,1,,,2,0,0.4446,0.55,12.217,132.217,252.217
1,1,2,3,13,2,1,,,3,0,0.4927,0.55,355.985,115.985,235.985
1,1,2,3,14,2,2,,,2,1,0.4409,0.55,94.973,214.973,334.973
1,1,2,3,15,2,1,,,1,1,0.7769,0.55,221.142,341.142,101.142
1,1,2,3,16,2,1,,,1,1,0.3806,0.55,71.641,191.641,311.641
1,1,2,3,17,2,1,,,1,1,0.4471,0.55,45.473,165.473,285.473
1,1,2,3,18,2,1,,,1,1,0.4455,0.55,149.208,269.208,29.208
1,1,2,3,19,2,2,,,2,1,0.9258,0.55,201.597,321.597,81.597
1,1,2,3,20,2,1,,,1,1,0.7611,0.55,252.904,12.904,132.904
1,1,2,3,21,2,3,,,3,1,0.7,0.55,42.334,162.334,282.334
1,1,2,3,22,2,2,,,2,1,0.7063,0.55,244.946,4.946,124.946
