subject,run,block,condition,trial_in_block,dominant_color,alternative_color,response,correct,confidence,rt_choice,rt_confidence
1,4,1,2,8,3,4,3,1,4,1.1457,1.4683
1,4,1,2,9,1,4,1,1,3,1.7588,2.6868
1,4,1,2,10,1,2,1,1,2,2.7391,3.139
1,4,1,2,11,1,2,1,1,2,1.1715,1.9718
1,4,1,2,12,4,1,4,1,1,2.6603,2.9963
1,4,1,2,13,3,2,3,1,3,1.723,2.1398
1,4,1,2,14,4,3,3,0,2,5.6693,6.0849
1,4,1,2,15,1,3,1,1,1,1.1972,1.5185
1,4,1,2,16,1,4,1,1,1,2.6892,3.2013
1,4,1,2,17,2,4,2,1,3,1.5674,2.1276
1,4,1,2,18,2,4,2,1,3,0.7465,1.3065
1,4,1,2,19,3,2,3,1,2,1.6707,2.2142
1,4,1,2,20,3,4,3,1,2,1.8702,2.3022
1,4,1,2,21,2,3,2,1,2,1.3134,1.9205
1,4,1,2,22,4,2,2,0,1,2.0355,2.5003
1,4,1,2,23,1,2,1,1,1,1.7917,2.1271
1,4,1,2,24,1,2,2,0,1,1.4503,1.9296
1,4,1,2,25,2,3,2,1,4,1.6451,2.3809
1,4,1,2,26,2,1,2,1,4,0.9732,1.2847
1,4,1,2,27,4,2,2,0,1,1.2093,2.8094
1,4,1,2,28,4,2,4,1,1,1.9125,2.7449
1,4,1,2,29,2,4,2,1,4,1.3061,1.8823
1,4,1,2,30,3,1,3,1,1,1.5352,2.0314
1,4,1,2,31,3,2,3,1,1,1.3576,1.6687
1,4,1,2,32,2,3,2,1,2,1.131,2.1384
1,4,1,2,33,3,2,2,0,1,3.0613,3.3704
1,4,1,2,34,3,4,3,1,4,1.4518,1.8359
1,4,1,2,35,1,2,1,1,3,1.1383,1.8106
1,4,2,1,1,4,,3,0,1,2.6092,2.9609
1,4,2,1,2,1,,1,1,1,1.4016,1.7188
1,4,2,1,3,2,,2,1,2,1.1874,1.5017
1,4,2,1,4,2,,3,0,2,1.3196,1.7193
1,4,2,1,5,3,,3,1,2,1.2825,1.6019
1,4,2,1,6,4,,1,0,1,1.7469,2.563
1,4,2,1,7,3,,3,1,1,1.5479,2.252
1,4,2,1,8,4,,2,0,1,1.7448,2.129
1,4,2,1,9,4,,4,1,1,1.323,1.635
1,4,2,1,10,3,,3,1,3,1.1938,1.594
1,4,2,1,11,2,,2,1,3,1.3388,1.8345
1,4,2,1,12,3,,3,1,3,1.2011,1.5365
1,4,2,1,13,4,,3,0,3,1.5232,1.9717
1,4,2,1,14,2,,2,1,3,1.2838,1.6839
1,4,2,1,15,3,,3,1,2,1.1685,1.5525
1,4,2,1,16,1,,1,1,1,1.3628,1.7147
1,4,2,1,17,4,,3,0,2,1.3262,1.635
1,4,2,1,18,1,,2,0,1,1.7885,2.1568
1,4,2,1,19,3,,3,1,2,1.2381,1.5745
1,4,2,1,20,1,,1,1,1,1.3676,1.7035
1,4,2,1,21,2,,2,1,2,1.4912,1.8432
1,4,2,1,22,2,,2,1,3,1.4016,1.754
1,4,2,1,23,1,,1,1,3,1.4112,1.7634
1,4,2,1,24,1,,1,1,2,1.245,1.5808
1,4,2,1,25,4,,4,1,1,1.5981,1.9189
1,4,2,1,26,2,,2,1,3,1.1047,1.4182
1,4,2,1,27,3,,2,0,1,3.3364,3.6541
1,4,2,1,28,4,,4,1,1,1.3157,1.6351
1,4,2,1,29,1,,1,1,1,1.8269,2.1356
1,4,2,1,30,3,,3,1,2,1.4522,1.7687
1,4,2,1,31,1,,1,1,1,1.4615,2.8059
1,4,2,1,32,3,,3,1,2,1.1724,1.6684
1,4,2,1,33,3,,2,0,2,1.5214,2.0815
1,4,2,1,34,2,,2,1,1,1.182,1.5018
1,4,2,1,35,3,,3,1,3,1.2502,1.6177
1,4,3,3,1,4,1,4,1,1,1.7842,2.184
1,4,3,3,2,1,4,1,1,1,1.5196,1.8356
1,4,3,3,3,1,4,1,1,3,1.2058,1.5424
1,4,3,3,4,1,4,1,1,2,0.9847,1.3015
1,4,3,3,5,1,4,1,1,1,1.3972,2.0368
1,4,3,3,6,1,4,2,0,2,1.1229,1.435
1,4,3,3,7,4,1,4,1,1,1.3858,1.7019
1,4,3,3,8,4,1,4,1,1,1.4776,1.7852
1,4,3,3,9,4,1,2,0,2,1.1659,1.485
1,4,3,3,10,4,1,2,0,2,1.3464,1.6686
1,4,3,3,11,1,4,4,0,1,3.3921,4.1762
1,4,3,3,12,4,1,1,0,1,1.638,1.9522
1,4,3,3,13,1,4,1,1,1,1.2873,1.6016
1,4,3,3,14,1,4,1,1,1,1.0788,1.4016
1,4,3,3,15,1,4,1,1,3,1.5827,2.8945
1,4,3,3,16,4,1,4,1,4,1.2579,1.7213
1,4,3,3,17,1,4,1,1,4,1.3487,1.6686
1,4,3,3,18,4,1,4,1,3,1.5375,2.2899
1,4,3,3,19,4,1,4,1,3,1.8616,2.186
1,4,3,3,20,4,1,4,1,3,0.7819,1.1012
1,4,3,3,21,1,4,1,1,4,0.7863,1.6339
1,4,3,3,22,4,1,4,1,3,1.2809,1.6647
1,4,3,3,23,1,4,1,1,3,0.7341,1.3262
1,4,3,3,24,4,1,4,1,4,1.0979,1.4184
1,4,3,3,25,4,1,4,1,4,1.0092,1.6171
1,4,3,3,26,4,1,1,0,1,2.6886,3.0409
1,4,3,3,27,1,4,1,1,4,0.8379,1.2211
1,4,3,3,28,4,1,4,1,3,0.8212,1.3812
1,4,3,3,29,1,4,1,1,4,1.1345,2.255
1,4,3,3,30,4,1,4,1,3,1.2677,2.148
1,4,3,3,31,1,4,1,1,4,1.0221,1.4858
1,4,3,3,32,4,1,4,1,1,1.6187,1.9356
1,4,3,3,33,4,1,1,0,1,1.3808,1.7022
1,4,3,3,34,4,1,1,0,1,0.8326,1.1512
1,4,3,3,35,4,1,1,0,1,0.787,1.1012
1,5,1,3,1,4,3,3,0,1,2.6094,3.7451
1,5,1,3,2,4,3,3,0,2,2.2493,2.6814
1,5,1,3,3,3,4,3,1,4,1.4217,1.7353
1,5,1,3,4,3,4,3,1,4,1.0634,1.3848
1,5,1,3,5,3,4,3,1,4,0.7529,1.0676
1,5,1,3,6,4,3,4,1,1,2.1498,2.5973
1,5,1,3,7,4,3,4,1,3,0.8622,1.5344
1,5,1,3,8,3,4,3,1,4,0.9603,1.3124
1,5,1,3,9,4,3,4,1,2,1.405,1.7889
1,5,1,3,10,4,3,4,1,1,1.7015,2.1656
1,5,1,3,11,4,3,4,1,2,1.8068,2.3505
1,5,1,3,12,4,3,4,1,1,1.1676,1.5197
1,5,1,3,13,3,4,3,1,2,1.1388,1.4518
1,5,1,3,14,4,3,3,0,2,1.465,1.8006
1,5,1,3,15,3,4,4,0,1,0.9926,2.3201
1,5,1,3,16,3,4,3,1,3,0.6906,1.3312
1,5,1,3,17,3,4,3,1,3,1.7585,2.0691
1,5,1,3,18,3,4,3,1,4,0.7154,1.0347
1,5,1,3,19,3,4,3,1,4,0.7547,1.2502
1,5,1,3,20,4,3,3,0,3,1.1203,2.3846
1,5,1,3,21,4,3,3,0,1,0.7684,1.1524
