subject,session,run,block,trial_in_block,dominant_symbol,response1,correct1,response2,correct2,rt1,rt2
1,1,2,2,40,6,6,1,,,0.1503,0.0
1,1,2,2,41,6,6,1,,,0.2064,0.0
1,1,2,2,42,6,6,1,,,0.8202,0.0
1,1,2,2,43,5,6,0,,,0.401,0.0
1,1,2,2,44,3,6,0,1,0,0.2499,1.2828
1,1,2,2,45,1,6,0,,,0.2161,0.0
1,1,2,2,46,1,1,1,,,0.2647,0.0
1,1,2,2,47,4,5,0,,,0.9076,0.0
1,1,2,2,48,2,4,0,,,0.8009,0.0
1,1,2,2,49,3,1,0,,,1.1131,0.0
1,1,2,2,50,3,6,0,,,0.213,0.0
1,1,2,3,1,5,6,0,1,0,0.2439,0.9886
1,1,2,3,2,5,5,1,,,0.6545,0.0
1,1,2,3,3,6,6,1,,,0.6413,0.0
1,1,2,3,4,6,6,1,,,0.2616,0.0
1,1,2,3,5,2,6,0,,,0.2013,0.0
1,1,2,3,6,2,2,1,,,0.3788,0.0
1,1,2,3,7,1,6,0,,,0.1374,0.0
1,1,2,3,8,3,6,0,,,1.0214,0.0
1,1,2,3,9,5,5,1,,,0.5414,0.0
1,1,2,3,10,4,6,0,1,0,0.3893,1.1129
1,1,2,3,11,3,1,0,,,0.3882,0.0
1,1,2,3,12,6,6,1,,,0.0787,0.0
1,1,2,3,13,4,1,0,,,0.6973,0.0
1,1,2,3,14,6,6,1,,,0.6144,0.0
1,1,2,3,15,2,6,0,5,0,0.4592,0.4915
1,1,2,3,16,3,6,0,1,0,0.4015,0.9479
1,1,2,3,17,5,5,1,,,0.3421,0.0
1,1,2,3,18,6,6,1,,,0.4546,0.0
1,1,2,3,19,6,5,0,6,1,0.5306,0.2884
1,1,2,3,20,5,5,1,,,0.2912,0.0
1,1,2,3,21,5,5,1,,,0.4698,0.0
1,1,2,3,22,1,1,1,,,0.2889,0.0
1,1,2,3,23,1,1,1,,,0.5634,0.0
1,1,2,3,24,4,1,0,,,1.0183,0.0
1,1,2,3,25,2,6,0,,,0.3944,0.0
1,1,2,3,26,6,5,0,6,1,0.4355,0.2443
1,1,2,3,27,4,5,0,,,0.6165,0.0
1,1,2,3,28,3,3,1,,,1.2248,0.0
1,1,2,3,29,4,2,0,,,0.5974,0.0
1,1,2,3,30,6,2,0,5,0,0.5184,0.5801
1,1,2,3,31,1,6,0,1,1,0.3257,1.2754
1,1,2,3,32,5,1,0,,,0.5338,0.0
1,1,2,3,33,2,2,1,,,0.4573,0.0
1,1,2,3,34,1,3,0,,,0.9976,0.0
1,1,2,3,35,1,1,1,,,1.3021,0.0
1,1,2,3,36,4,2,0,,,0.495,0.0
1,1,2,3,37,6,6,1,,,0.5634,0.0
1,1,2,3,38,6,6,1,,,0.1864,0.0
1,1,2,3,39,2,6,0,5,0,0.2897,0.4243
1,1,2,3,40,2,2,1,,,0.5614,0.0
1,1,2,3,41,4,5,0,,,0.4082,0.0
1,1,2,3,42,3,2,0,,,0.497,0.0
1,1,2,3,43,2,5,0,,,0.7742,0.0
1,1,2,3,44,1,5,0,6,0,0.416,0.4346
1,1,2,3,45,5,2,0,,,0.4587,0.0
1,1,2,3,46,3,6,0,2,0,0.2578,1.8182
1,1,2,3,47,1,2,0,,,0.6495,0.0
1,1,2,3,48,3,1,0,4,0,0.4885,1.1113
1,1,2,3,49,4,2,0,3,0,0.4352,0.9324
1,1,2,3,50,3,2,0,,,0.2957,0.0
1,1,2,4,1,2,6,0,,,0.2583,0.0
1,1,2,4,2,5,5,1,,,0.4012,0.0
1,1,2,4,3,3,5,0,,,0.1756,0.0
1,1,2,4,4,6,2,0,3,0,0.2731,1.1453
1,1,2,4,5,3,3,1,,,0.6118,0.0
1,1,2,4,6,3,3,1,,,0.4885,0.0
1,1,2,4,7,2,2,1,,,0.5471,0.0
1,1,2,4,8,1,5,0,,,0.2826,0.0
1,1,2,4,9,5,1,0,,,1.1283,0.0
1,1,2,4,10,2,2,1,,,0.3874,0.0
1,1,2,4,11,4,4,1,,,0.5938,0.0
1,1,2,4,12,2,1,0,,,0.552,0.0
1,1,2,4,13,4,2,0,4,1,0.491,0.6501
